Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
242,62,79,53,52,40,47,30,55,78,44,50,34,39,16,13,19,4,32,65,74,x3,tails
243,78,43,30,51,76,32,1,24,57,63,5,9,68,13,19,69,55,46,47,6,reg,tails
244,9,69,20,59,33,11,28,53,63,31,61,22,2,48,58,5,10,65,26,72,x3,heads
245,76,35,5,44,34,18,78,3,8,25,73,11,20,15,49,43,77,27,42,59,x2,heads
246,6,36,27,19,5,22,33,73,70,58,1,66,25,74,57,47,23,71,76,18,reg,heads
247,27,26,75,32,12,29,10,73,45,3,7,37,31,14,30,38,15,40,53,46,reg,heads
248,45,62,79,56,34,11,44,52,27,59,6,5,76,1,2,64,31,15,49,55,reg,tails
249,51,11,32,72,66,19,58,36,79,4,23,46,54,68,49,44,28,5,56,63,x2,tails
250,15,17,50,6,7,24,62,45,20,4,1,40,54,60,22,36,57,14,42,67,reg,heads
251,17,78,38,30,27,65,75,16,11,45,29,51,42,77,13,14,52,47,39,58,x3,evens
252,44,26,74,27,53,43,35,21,14,22,17,8,39,9,78,62,57,18,41,33,reg,heads
253,43,55,53,59,13,3,4,58,66,14,77,1,67,57,16,52,80,32,72,24,x3,tails
254,61,78,16,18,23,55,67,65,27,11,40,5,52,68,49,17,70,42,45,76,x2,tails
255,73,6,37,3,60,32,67,21,35,49,62,80,69,24,42,34,79,13,43,31,x2,evens
256,4,50,13,7,14,17,74,42,3,45,12,8,6,28,47,55,52,23,33,32,x3,heads
257,41,59,6,19,4,22,28,45,78,5,55,14,42,40,27,48,75,51,76,62,reg,tails
258,56,23,8,33,53,55,65,29,66,22,70,1,46,10,36,17,13,73,30,79,reg,heads
259,31,56,7,33,67,73,66,24,35,17,26,22,21,32,57,30,4,47,10,69,reg,heads
260,73,30,48,26,58,76,54,72,64,79,20,60,24,63,23,80,15,50,70,51,reg,tails
261,36,71,59,29,61,41,54,45,30,3,13,67,52,50,25,2,55,6,10,27,reg,evens
262,66,73,27,4,54,13,38,29,75,31,35,48,60,14,8,1,53,19,44,37,x3,heads
263,6,26,30,8,78,46,21,73,34,65,17,76,79,74,38,22,39,60,5,68,x2,heads
264,21,30,7,68,50,34,16,75,67,8,26,64,27,65,20,80,62,14,2,78,x2,heads
265,38,9,12,17,52,49,3,2,6,54,42,61,25,4,77,46,23,34,22,67,reg,heads
